DEPTH,Gamma Ray (GR),Deep Resisitivity (RT),Medium Resistivity (RM),Shallow Resistivity (RS),Density (RHOB),Neutron Porosity (NPHI),Total Porosity (PHIT),Effective Porosity (PHIE),Clay Volume (VCL),Permeability (Perm),Water Saturation (SW),Labels
2499.8172,56.1926,1.3935,1.3638,1.3465,2.4448,0.2725,0.1737,0.1503,0.3846,0.8103,1.0,0
2499.9696,60.1274,1.488,1.5303,1.4871,2.4519,0.2846,0.1612,0.091,0.5681,0.0142,1.0,0
2500.122,68.7668,1.7522,1.7814,1.756,2.4761,0.3028,0.1547,0.0566,0.7287,0.0004,1.0,1
2500.2744,73.5606,1.9503,1.9795,1.931,2.5012,0.306,0.1441,0.0354,0.8184,0.0,1.0,1
2500.4268,73.7713,2.1226,2.1317,2.108,2.5165,0.3001,0.1357,0.0347,0.7806,0.0,1.0,1
2500.5792,70.6458,2.2625,2.3035,2.2437,2.5203,0.3015,0.1343,0.0419,0.7256,0.0001,1.0,1
2500.7316,68.2437,2.264,2.229,2.2406,2.5181,0.315,0.1387,0.0541,0.6695,0.0006,1.0,1
2500.884,69.7912,2.0769,2.0259,2.0353,2.5054,0.304,0.1417,0.055,0.6783,0.0006,1.0,1
2501.0364,70.3945,1.9767,1.9029,1.9099,2.4996,0.2917,0.1413,0.036,0.8002,0.0,1.0,1
2501.1888,69.0498,1.8957,1.9085,1.7992,2.4805,0.2942,0.1506,0.0573,0.7055,0.0005,1.0,1
2501.3412,61.9752,1.5878,1.6066,1.4623,2.4529,0.2966,0.1637,0.0867,0.5981,0.0083,1.0,1
2501.4936,55.0263,1.3723,1.3655,1.2438,2.4233,0.3019,0.1922,0.1635,0.4267,0.6901,1.0,0
2501.7984,52.6399,1.4273,1.4113,1.3724,2.4333,0.2818,0.1815,0.1368,0.468,0.216,1.0,0
2501.9508,55.7186,1.64,1.6496,1.5821,2.4544,0.2627,0.1666,0.1134,0.4976,0.0744,1.0,0
2502.1032,57.4701,1.7274,1.683,1.6129,2.4689,0.2558,0.1463,0.0947,0.5038,0.0347,1.0,0
2502.2556,60.4274,1.8759,1.8304,1.7435,2.4842,0.2535,0.1387,0.0894,0.5006,0.0289,1.0,0
2502.408,66.055,2.0366,1.934,1.9495,2.4912,0.3013,0.1475,0.0651,0.645,0.0016,1.0,1
2502.5604,70.6133,1.938,1.9559,1.8496,2.4926,0.3294,0.1539,0.0397,0.8368,0.0,1.0,1
2502.7128,67.5396,1.8823,1.8117,1.8069,2.4949,0.3094,0.1479,0.0574,0.6917,0.0006,1.0,1
2502.8652,62.4144,2.0534,2.1192,2.0681,2.4973,0.3038,0.1453,0.0897,0.5191,0.0236,1.0,1
